V Grade,days outdoors,age,sex,height,weight,span,years climbing,years training,# pullups,# pushups,ape index,Weighted hang ratio,Weighted pull ratio
8.0,2.5,27,0.0,72.5,175.0,75.5,5.0,3.0,13.0,30.0,3.0,1.5142857142857142,1.6285714285714286
5.0,4.555555555555555,26,1.0,68.0,143.0,68.0,7.0,1.0,13.0,30.0,0.0,1.5594405594405596,1.4195804195804196
6.0,,35,0.0,69.0,157.0,68.5,9.0,3.0,18.0,39.0,-0.5,1.2292993630573248,1.573248407643312
8.0,5.555555555555555,37,0.0,69.7,132.0,70.0,7.0,1.0,17.0,45.0,0.29999999999999716,1.4166666666666667,
8.0,5.555555555555555,32,0.0,70.0,165.0,74.0,5.0,1.0,11.0,26.0,4.0,1.4242424242424243,1.4242424242424243
9.0,3.3333333333333335,39,0.0,68.9,135.0,68.9,7.0,7.0,22.0,40.0,0.0,,1.7407407407407407
11.0,22.22222222222222,33,0.0,71.0,145.0,71.0,11.0,1.0,15.0,27.0,0.0,1.3793103448275863,1.5172413793103448
7.0,4.166666666666667,36,0.0,71.0,162.0,71.0,11.0,5.0,17.0,36.0,0.0,1.2469135802469136,1.6481481481481481
7.0,5.833333333333333,23,1.0,61.0,100.0,63.0,3.0,1.0,15.0,33.0,2.0,1.41,1.55
6.0,3.0,31,0.0,72.0,175.0,74.0,3.0,3.0,15.0,31.0,2.0,1.457142857142857,1.457142857142857
10.0,4.166666666666667,30,0.0,70.5,175.0,76.0,9.0,1.0,16.0,31.0,5.5,1.5714285714285714,1.6
7.0,20.833333333333332,39,0.0,70.0,180.0,73.0,11.0,5.0,8.0,12.0,3.0,1.4444444444444444,1.3888888888888888
5.0,5.555555555555555,32,0.0,70.0,155.0,68.0,7.0,1.0,12.0,15.0,-2.0,1.2258064516129032,1.2903225806451613
7.0,3.3333333333333335,25,0.0,75.0,150.0,76.0,5.0,3.0,15.0,21.0,1.0,1.5,1.5
6.0,12.5,26,0.0,69.0,160.0,72.5,3.0,1.0,10.0,30.0,3.5,1.4375,1.375
6.0,11.11111111111111,28,1.0,64.0,117.0,66.0,7.0,3.0,5.0,20.0,2.0,1.1452991452991452,1.170940170940171
10.0,11.11111111111111,20,0.0,72.0,158.0,72.0,11.0,7.0,19.0,37.0,0.0,1.6329113924050633,1.5696202531645569
11.0,13.333333333333334,45,0.0,68.0,147.0,68.0,11.0,11.0,23.0,43.0,0.0,1.7142857142857144,1.6802721088435373
9.0,10.0,31,0.0,74.0,187.0,78.0,7.0,3.0,19.0,28.0,4.0,1.5026737967914439,1.7058823529411766
10.0,16.666666666666668,31,1.0,66.0,130.0,,11.0,11.0,14.0,18.0,,1.3076923076923077,1.3076923076923077
8.0,8.88888888888889,55,0.0,74.0,180.0,74.0,11.0,11.0,50.0,90.0,0.0,1.5,1.75
3.0,1.3333333333333333,24,0.0,73.0,200.0,73.0,7.0,1.0,6.0,13.0,0.0,1.1,1.0
7.0,15.0,32,0.0,71.0,148.0,72.0,11.0,3.0,18.0,35.0,1.0,1.5405405405405406,1.777027027027027
9.0,8.333333333333334,27,0.0,71.0,175.0,72.5,9.0,3.0,10.0,38.0,1.5,1.4,1.5714285714285714
7.0,2.5,37,0.0,73.0,170.0,73.0,9.0,7.0,16.0,23.0,0.0,1.4588235294117646,
5.0,12.5,49,0.0,71.5,160.0,75.0,11.0,5.0,16.0,17.0,3.5,1.1125,1.4375
4.0,12.5,37,1.0,66.5,120.0,67.0,11.0,11.0,8.0,11.0,0.5,1.15,1.2916666666666667
8.0,5.555555555555555,29,0.0,70.0,165.0,72.0,7.0,3.0,13.0,36.0,2.0,1.3636363636363638,1.4242424242424243
8.0,5.0,31,1.0,68.5,145.0,69.6,9.0,5.0,10.0,10.0,1.0999999999999943,1.3103448275862069,1.2413793103448276
3.0,8.333333333333334,38,1.0,69.0,177.0,68.0,5.0,1.0,2.0,12.0,-1.0,1.112994350282486,1.0
3.0,9.166666666666666,42,0.0,,153.0,73.0,11.0,3.0,9.0,18.0,,1.1111111111111112,1.1633986928104576
5.0,8.333333333333334,48,0.0,66.0,137.0,69.0,11.0,1.0,20.0,53.0,3.0,1.343065693430657,1.3284671532846715
8.0,1.6666666666666667,28,0.0,68.0,167.0,68.0,11.0,11.0,14.0,17.0,0.0,1.8383233532934131,1.658682634730539
6.0,3.3333333333333335,26,1.0,68.0,120.0,72.0,9.0,3.0,4.0,19.0,4.0,1.2916666666666667,1.1416666666666666
7.0,6.666666666666667,29,0.0,75.0,179.0,75.0,1.0,1.0,17.0,43.0,0.0,1.4022346368715084,1.5139664804469275
8.0,5.0,36,1.0,66.0,128.0,65.0,9.0,3.0,11.0,10.0,-1.0,1.546875,1.46875
9.0,11.555555555555555,27,1.0,65.0,130.0,67.0,5.0,1.0,10.0,10.0,2.0,1.1153846153846154,1.2692307692307692
12.0,16.666666666666668,25,0.0,69.0,134.0,69.0,11.0,5.0,24.0,43.0,0.0,1.671641791044776,1.8582089552238807
